Unit,Tenant Name,Status,Lease Start,Lease End,Monthly Rent,Market Rent,Security Deposit,Balance Due,Move In Date
208,,Vacant,,,0.00,2081.40,0.00,0.00,
409,,Vacant,,,0.00,2832.47,0.00,0.00,
104,Ronnie Koss,Occupied,1/10/2025,1/10/2026,2843.41,2771.99,2843.41,0.00,1/10/2025
102,Clifton Kshlerin,Occupied,2/8/2025,2/8/2026,2658.34,2747.91,2658.34,0.00,2/8/2025
408,Wilson Gottlieb,Occupied,10/10/2025,10/10/2026,1744.79,1695.02,1744.79,0.00,10/10/2025
408,Regina Pagac,Occupied,10/27/2025,10/27/2026,1636.17,1729.80,1636.17,0.00,10/27/2025
406,Gordon Ratke,Occupied,12/14/2025,12/14/2026,1821.44,1812.86,1821.44,0.00,12/14/2025
409,Dr. Hector Bauch,Occupied,2/28/2024,2/28/2025,2206.14,2226.00,2206.14,0.00,2/28/2024
503,Claudia Schmitt,Occupied,7/12/2025,7/12/2026,2254.97,2216.25,2254.97,0.00,7/12/2025
203,Antonia Hilpert-Robel,Occupied,5/7/2025,5/7/2026,2319.84,2402.38,2319.84,0.00,5/7/2025
101,Shannon Batz,Occupied,6/16/2025,6/16/2026,2321.21,2310.42,2321.21,0.00,6/16/2025
306,Dr. Margaret Swift,Occupied,8/24/2024,8/24/2025,2526.00,2480.50,2526.00,0.00,8/24/2024
401,Ms. Violet Lang,Occupied,1/17/2025,1/17/2026,1874.82,1898.04,1874.82,0.00,1/17/2025
501,Dr. Darren Larson,Occupied,3/24/2024,3/24/2025,2958.33,2952.36,2958.33,0.00,3/24/2024
208,Vernon Kuhn,Occupied,3/5/2024,3/5/2025,2924.23,2891.52,2924.23,0.00,3/5/2024
409,Suzanne Osinski,Occupied,2/10/2024,2/10/2025,1735.98,1696.39,1735.98,0.00,2/10/2024
206,Miss Delia Goodwin,Occupied,8/4/2024,8/4/2025,2890.18,2808.50,2890.18,434.40,8/4/2024
307,Sophia Schimmel,Occupied,4/17/2025,4/17/2026,2569.90,2611.85,2569.90,0.00,4/17/2025
308,Woodrow Altenwerth,Occupied,4/20/2025,4/20/2026,2145.58,2058.33,2145.58,0.00,4/20/2025
